MONTH,HB_水产品,类别,JCMC_水产品,SQ_水产品,TB_水产品,BQ_水产品,MONTH,类别,JKMC_肉类,HB_肉类,SQ_肉类,TB_肉类,BQ_肉类,MONTH,HB_蔬菜,类别,JCMC,SQ_蔬菜,TB_蔬菜,BQ_蔬菜
2018/11/1,-0.010821,水产品,活鲤鱼,9.29,0.087951,9.19,2018/11/1,肉蛋,五花肉,0.008926,13.82,-0.020062,13.95,2018/11/1,-0.028884,蔬菜,生姜,7.33,-0.081577,7.12
2018/11/1,-0.009995,水产品,活福寿鱼,8.98,0.135421,8.89,2018/11/1,肉蛋,肋排骨,0.020587,27,0.082752,27.56,2018/11/1,-0.069219,蔬菜,蒜头,5.71,-0.159773,5.32
2018/11/1,-0.021671,水产品,活草鱼,8.85,0.031063,8.65,2018/11/1,肉蛋,梅瘦肉,0.006025,19.1,0.007349,19.22,2018/11/1,-0.29444,蔬菜,大白菜,2.9,-0.007801,2.05
2018/11/1,-0.008416,水产品,活大头鱼,10.6,0.156847,10.51,2018/11/1,肉蛋,精瘦肉,-0.050223,17.46,-0.039477,16.58,2018/11/1,-0.123866,蔬菜,卷心菜,2.8,-0.071917,2.46
2018/11/1,0.000572,水产品,冰鲜带鱼,32.83,0.003469,32.85,2018/11/1,肉蛋,牛肉,-0.004926,43.39,0.005707,43.18,2018/11/1,-0.304283,蔬菜,菠菜,7.32,-0.166791,5.09
2018/11/1,-0.048636,水产品,冰鲜黄花鱼,23.63,-0.159359,22.48,2018/11/1,肉蛋,羊肉,0.029546,38.08,0.080163,39.21,2018/11/1,-0.201476,蔬菜,上海青,4.39,-0.069918,3.51
2018/11/1,0.106336,水产品,冰鲜红三鱼,35.15,-0.016982,38.89,2018/11/1,肉蛋,白条鸡,-0.009715,17.49,0.012919,17.32,2018/11/1,-0.232718,蔬菜,芹菜,7.97,-0.039168,6.11
2018/11/1,-0.05805,水产品,活基围虾,44.25,0.008816,41.68,2018/11/1,肉蛋,白条鸭,-0.002866,12.33,0.035798,12.3,2018/11/1,-0.155987,蔬菜,韭菜,5.53,0.057792,4.67
2019/2/1,0.082257,水产品,活鲤鱼,9.37,0.057013,10.14,2018/11/1,肉蛋,鸡蛋,-0.011133,6.15,0.106129,6.08,2018/11/1,-0.24488,蔬菜,油麦菜,5.04,-0.029335,3.8
2019/2/1,0.064519,水产品,活福寿鱼,8.77,0.045293,9.34,2019/2/1,肉蛋,后腿肉,-0.003207,13.19,-0.064519,13.15,2018/11/1,-0.220364,蔬菜,菜心,5.63,-0.066798,4.39
2019/2/1,0.059936,水产品,活草鱼,8.71,-0.021402,9.24,2019/2/1,肉蛋,五花肉,0.006595,14.22,-0.033193,14.31,2018/11/1,-0.335009,蔬菜,生菜,5.38,-0.106221,3.58
2019/2/1,0.055347,水产品,活大头鱼,10.28,0.052254,10.84,2019/2/1,肉蛋,肋排骨,0.022284,27.09,0.01686,27.69,2018/11/1,-0.056288,蔬菜,蒜苗,7.25,0.055312,6.85
2019/2/1,0.081252,水产品,冰鲜带鱼,34.84,0.010869,37.67,2019/2/1,肉蛋,梅瘦肉,-0.000404,19.6,-0.025628,19.59,2018/11/1,0.022368,蔬菜,冬瓜,2.29,0.125779,2.35
2019/2/1,0.056978,水产品,冰鲜黄花鱼,23.61,-0.151774,24.95,2019/2/1,肉蛋,精瘦肉,0.013473,17.84,-0.025928,18.08,2018/11/1,-0.220793,蔬菜,黄瓜,4.83,-0.027227,3.76
2019/2/1,0.060451,水产品,冰鲜红三鱼,40.58,-0.014499,43.03,2019/2/1,肉蛋,牛肉,0.111609,45.01,0.165373,50.03,2018/11/1,-0.180718,蔬菜,西红柿,6.92,0.261533,5.67
2019/2/1,0.113771,水产品,活基围虾,46.18,-0.106224,51.43,2019/2/1,肉蛋,羊肉,0.005627,42.56,0.153839,42.8,2018/11/1,-0.053689,蔬菜,茄子,4.49,-0.011416,4.25
2018/12/1,-0.001835,水产品,活鲤鱼,9.19,0.083727,9.18,2019/2/1,肉蛋,白条鸡,0.041218,18.03,0.061102,18.77,2018/11/1,-0.222162,蔬菜,白萝卜,2.3,-0.130666,1.79
2018/12/1,-0.038759,水产品,活福寿鱼,8.89,0.099052,8.54,2019/2/1,肉蛋,白条鸭,0.031393,13.07,0.083399,13.48,2018/11/1,-0.040648,蔬菜,胡萝卜,3.59,0.14473,3.45
2018/12/1,-0.021992,水产品,活草鱼,8.65,0.016176,8.46,2019/2/1,肉蛋,鸡蛋,0.014664,5.91,-0.004667,6,2018/11/1,-0.151743,蔬菜,尖椒,5.99,0.219824,5.08
2018/12/1,-0.007047,水产品,活大头鱼,10.51,0.194436,10.44,2018/12/1,肉蛋,后腿肉,0.018809,12.75,0.005091,12.99,2018/11/1,-0.159573,蔬菜,青圆椒,8.39,0.412341,7.05
2018/12/1,0.04515,水产品,冰鲜带鱼,32.85,0.039973,34.33,2018/12/1,肉蛋,五花肉,0.03418,13.95,0.054694,14.42,2018/11/1,-0.080348,蔬菜,豆角,5.67,-0.021384,5.21
2018/12/1,-0.020583,水产品,冰鲜黄花鱼,22.48,-0.166975,22.02,2018/12/1,肉蛋,肋排骨,-0.018002,27.56,0.04172,27.06,2018/11/1,-0.104779,蔬菜,白花菜,6.85,0.164711,6.14
2018/12/1,0.023014,水产品,冰鲜红三鱼,38.89,0.013597,39.78,2018/12/1,肉蛋,梅瘦肉,0.020454,19.22,0.021888,19.61,2018/11/1,-0.05734,蔬菜,土豆,3.35,0.06606,3.16
2018/12/1,-0.009972,水产品,活基围虾,41.68,-0.023927,41.27,2018/12/1,肉蛋,精瘦肉,0.040756,16.58,-0.013985,17.26,2018/11/1,-0.200467,蔬菜,西芹,6.04,0.13949,4.83
2019/1/1,0.020612,水产品,活鲤鱼,9.18,0.114745,9.37,2018/12/1,肉蛋,牛肉,-0.012306,43.18,0.009142,42.64,2018/11/1,-0.146552,蔬菜,丝瓜,6.76,-0.021547,5.77
2019/1/1,0.026489,水产品,活福寿鱼,8.54,0.123742,8.77,2018/12/1,肉蛋,羊肉,0.030581,39.21,0.178264,40.41,2018/11/1,-0.219542,蔬菜,莴笋,4.41,-0.075864,3.44
2019/1/1,0.029415,水产品,活草鱼,8.46,0.040232,8.71,2018/12/1,肉蛋,白条鸡,0.013834,17.32,0.030102,17.56,2018/11/1,-0.271668,蔬菜,西洋菜,6.87,-0.086148,5
2019/1/1,-0.015761,水产品,活大头鱼,10.44,0.160382,10.28,2018/12/1,肉蛋,白条鸭,0.025587,12.3,0.059146,12.61,2018/11/1,-0.13285,蔬菜,芥菜,4.69,-0.001995,4.07
2019/1/1,0.014757,水产品,冰鲜带鱼,34.33,0.033066,34.84,2018/12/1,肉蛋,鸡蛋,-0.007358,6.08,0.044139,6.04,2018/11/1,-0.079355,蔬菜,通心菜,4.69,0.013351,4.32
2019/1/1,0.072278,水产品,冰鲜黄花鱼,22.02,-0.146868,23.61,2019/1/1,肉蛋,后腿肉,0.01573,12.99,-0.000479,13.19,2018/11/1,-0.21219,蔬菜,芥兰,6.28,-0.033291,4.95
2019/1/1,0.019995,水产品,冰鲜红三鱼,39.78,0.033838,40.58,2019/1/1,肉蛋,五花肉,-0.01436,14.42,0.009554,14.22,2018/11/1,-0.063471,蔬菜,南瓜,2.26,-0.092773,2.12
2019/1/1,0.119079,水产品,活基围虾,41.27,0.013493,46.18,2019/1/1,肉蛋,肋排骨,0.00103,27.06,0.040276,27.09,2018/11/1,-0.009434,蔬菜,莲藕,4.84,-0.02343,4.8
2019/3/1,-0.058686,水产品,活鲤鱼,10.14,-0.009927,9.54,2019/1/1,肉蛋,梅瘦肉,-0.000456,19.61,0.017125,19.6,2018/11/1,-0.143841,蔬菜,奶白菜,5.41,0.016174,4.63
2019/3/1,-0.062269,水产品,活福寿鱼,9.34,0.007938,8.75,2019/1/1,肉蛋,精瘦肉,0.033677,17.26,0.017559,17.84,2018/11/1,-0.151234,蔬菜,苦瓜,5.94,-0.027383,5.04
2019/3/1,-0.083799,水产品,活草鱼,9.24,-0.050455,8.46,2019/1/1,肉蛋,牛肉,0.055469,42.64,0.04843,45.01,2019/2/1,0.018637,蔬菜,生姜,7.06,0.012441,7.19
2019/3/1,-0.066226,水产品,活大头鱼,10.84,0.036792,10.13,2019/1/1,肉蛋,羊肉,0.053337,40.41,0.217169,42.56,2019/2/1,0.073067,蔬菜,蒜头,5.6,-0.077751,6.01
2019/3/1,-0.163901,水产品,冰鲜带鱼,37.67,-0.04834,31.49,2019/1/1,肉蛋,白条鸡,0.026812,17.56,0.054466,18.03,2019/2/1,0.212162,蔬菜,大白菜,1.85,0.132327,2.24
2019/3/1,-0.068762,水产品,冰鲜黄花鱼,24.95,-0.136705,23.24,2019/1/1,肉蛋,白条鸭,0.036508,12.61,0.106053,13.07,2019/2/1,0.127214,蔬菜,卷心菜,2.23,-0.007311,2.52
2019/3/1,-0.097304,水产品,冰鲜红三鱼,43.03,-0.020453,38.84,2019/1/1,肉蛋,鸡蛋,-0.021267,6.04,-0.012335,5.91,2019/2/1,0.011614,蔬菜,菠菜,5.53,-0.115577,5.59
2019/3/1,-0.126066,水产品,活基围虾,51.43,-0.168595,44.95,2019/3/1,肉蛋,后腿肉,-0.014366,13.15,-0.017986,12.96,2019/2/1,0.059965,蔬菜,上海青,4.12,-0.079205,4.36
2018/8/1,-0.013765,水产品,活鲤鱼,9.41,0.112475,9.28,2019/3/1,肉蛋,五花肉,-0.040238,14.31,-0.011777,13.73,2018/12/1,-0.010592,蔬菜,生姜,7.12,-0.075121,7.04
2018/8/1,-0.000455,水产品,活福寿鱼,8.85,0.141563,8.84,2019/3/1,肉蛋,肋排骨,-0.048028,27.69,0.008242,26.36,2018/12/1,0.015199,蔬菜,蒜头,5.32,-0.176116,5.4
2018/8/1,-0.02216,水产品,活草鱼,8.78,-0.017704,8.58,2019/3/1,肉蛋,梅瘦肉,-0.022513,19.59,-0.024733,19.15,2018/12/1,-0.147382,蔬菜,大白菜,2.05,-0.035465,1.75
2018/8/1,-0.0043,水产品,活大头鱼,10.43,0.128361,10.39,2019/3/1,肉蛋,精瘦肉,-0.042135,18.08,-0.014887,17.32,2018/12/1,-0.06721,蔬菜,卷心菜,2.46,-0.127532,2.29
2018/8/1,-0.019151,水产品,冰鲜带鱼,36.34,-0.019127,35.64,2019/3/1,肉蛋,牛肉,-0.018018,50.03,0.128828,49.13,2018/12/1,0.008609,蔬菜,菠菜,5.09,-0.053734,5.13
2018/8/1,-0.071354,水产品,冰鲜黄花鱼,23.66,-0.204423,21.97,2019/3/1,肉蛋,羊肉,-0.013187,42.8,0.151908,42.24,2018/12/1,0.027973,蔬菜,上海青,3.51,0.036768,3.61
2018/8/1,0.014312,水产品,冰鲜红三鱼,41.33,0.042961,41.93,2019/3/1,肉蛋,白条鸡,-0.048741,18.77,0.028971,17.86,2018/12/1,-0.173375,蔬菜,芹菜,6.11,-0.107289,5.05
2018/8/1,-0.078603,水产品,活基围虾,44.24,-0.012425,40.76,2019/3/1,肉蛋,白条鸭,-0.085693,13.48,0.036379,12.33,2018/12/1,0.005777,蔬菜,韭菜,4.67,0.047653,4.7
2018/9/1,0.011424,水产品,活鲤鱼,9.28,0.094625,9.38,2019/3/1,肉蛋,鸡蛋,-0.040467,6,0.015711,5.75,2018/12/1,-0.065522,蔬菜,油麦菜,3.8,-0.042252,3.56
2018/9/1,0.017247,水产品,活福寿鱼,8.84,0.141004,9,2018/8/1,肉蛋,五花肉,0.036481,12.59,-0.066739,13.05,2018/12/1,0.057839,蔬菜,菜心,4.39,-0.153271,4.65
2018/9/1,0.041885,水产品,活草鱼,8.58,-0.011147,8.94,2018/8/1,肉蛋,肋排骨,0.046035,24.83,0.055386,25.97,2018/12/1,-0.111825,蔬菜,生菜,3.58,-0.067367,3.18
2018/9/1,0.006051,水产品,活大头鱼,10.39,0.129074,10.45,2018/8/1,肉蛋,梅瘦肉,0.028196,18.35,0.065462,18.87,2018/12/1,0.000049,蔬菜,蒜苗,6.85,0.059374,6.85
2018/9/1,-0.023096,水产品,冰鲜带鱼,35.64,0.053844,34.82,2018/8/1,肉蛋,精瘦肉,0.071108,14.84,-0.060539,15.9,2018/12/1,-0.016205,蔬菜,冬瓜,2.35,0.084859,2.31
2018/9/1,0.058949,水产品,冰鲜黄花鱼,21.97,-0.159621,23.27,2018/8/1,肉蛋,牛肉,0,43.43,0.011647,43.43,2018/12/1,0.242161,蔬菜,黄瓜,3.76,0.192421,4.67
2018/9/1,-0.077352,水产品,冰鲜红三鱼,41.93,0.033805,38.68,2018/8/1,肉蛋,羊肉,0,31.87,-0.002844,31.87,2018/12/1,-0.099549,蔬菜,西红柿,5.67,0.174497,5.1
2018/9/1,0.078526,水产品,活基围虾,40.76,0.074114,43.96,2018/8/1,肉蛋,白条鸡,0.007633,17.43,0.054118,17.56,2018/12/1,0.018977,蔬菜,茄子,4.25,-0.05075,4.33
2018/10/1,-0.009459,水产品,活鲤鱼,9.38,0.076424,9.29,2018/8/1,肉蛋,白条鸭,0.014083,12.2,0.108538,12.37,2018/12/1,-0.044399,蔬菜,白萝卜,1.79,-0.06367,1.71
2018/10/1,-0.00201,水产品,活福寿鱼,9,0.125972,8.98,2018/8/1,肉蛋,鸡蛋,0.077925,5.39,0.1745,5.81,2018/12/1,-0.016614,蔬菜,胡萝卜,3.45,0.09225,3.39
2018/10/1,-0.010819,水产品,活草鱼,8.94,-0.016941,8.85,2018/9/1,肉蛋,后腿肉,0.035687,12.44,-0.022614,12.89,2018/12/1,-0.259374,蔬菜,尖椒,5.08,-0.174971,3.76
2018/10/1,0.014479,水产品,活大头鱼,10.45,0.137909,10.6,2018/9/1,肉蛋,五花肉,0.057076,13.05,-0.026049,13.79,2018/12/1,-0.221902,蔬菜,青圆椒,7.05,0.06159,5.49
2018/10/1,-0.057138,水产品,冰鲜带鱼,34.82,-0.009286,32.83,2018/9/1,肉蛋,肋排骨,0.007949,25.97,0.006001,26.18,2018/12/1,0.19092,蔬菜,豆角,5.21,-0.045569,6.21
2018/10/1,0.01557,水产品,冰鲜黄花鱼,23.27,-0.15437,23.63,2018/9/1,肉蛋,梅瘦肉,0.015005,18.87,0.075497,19.15,2018/12/1,-0.097271,蔬菜,白花菜,6.14,0.082151,5.54
2018/10/1,-0.091321,水产品,冰鲜红三鱼,38.68,-0.066498,35.15,2018/9/1,肉蛋,精瘦肉,0.046461,15.9,-0.02819,16.64,2018/12/1,0.007785,蔬菜,土豆,3.16,0.082111,3.18
2018/10/1,0.006496,水产品,活基围虾,43.96,0.029779,44.25,2018/9/1,肉蛋,牛肉,0.001957,43.43,0.013627,43.52,2018/12/1,-0.156815,蔬菜,西芹,4.83,-0.043527,4.07
2019/4/1,-0.024997,水产品,活鲤鱼,9.54,-0.024895,9.3,2018/9/1,肉蛋,羊肉,0.031817,31.87,0.031817,32.88,2018/12/1,-0.027923,蔬菜,丝瓜,5.77,-0.133713,5.61
2019/4/1,-0.015364,水产品,活福寿鱼,8.75,-0.002546,8.62,2018/9/1,肉蛋,白条鸡,0.016453,17.56,0.05535,17.85,2018/12/1,-0.057709,蔬菜,莴笋,3.44,-0.055232,3.24
2019/4/1,0.06435,水产品,活草鱼,8.46,0.020336,9.01,2018/9/1,肉蛋,白条鸭,0.009964,12.37,0.061257,12.49,2018/12/1,0.004898,蔬菜,西洋菜,5,-0.001151,5.03
2019/4/1,0.008839,水产品,活大头鱼,10.13,0.038161,10.22,2018/9/1,肉蛋,鸡蛋,0.054167,5.81,0.106242,6.13,2018/12/1,-0.096413,蔬菜,芥菜,4.07,-0.049504,3.68
2019/4/1,0.02318,水产品,冰鲜带鱼,31.49,-0.033417,32.22,2018/10/1,肉蛋,后腿肉,0.00313,12.89,-0.025683,12.93,2018/12/1,0.114359,蔬菜,通心菜,4.32,0.031028,4.81
2019/4/1,0.003787,水产品,冰鲜黄花鱼,23.24,-0.115336,23.33,2018/10/1,肉蛋,五花肉,0.002109,13.79,-0.014575,13.82,2018/12/1,-0.04076,蔬菜,芥兰,4.95,-0.092555,4.75
2019/4/1,-0.01869,水产品,冰鲜红三鱼,38.84,-0.042261,38.12,2018/10/1,肉蛋,肋排骨,0.031309,26.18,0.025076,27,2018/12/1,0.004553,蔬菜,南瓜,2.12,-0.093519,2.13
2019/4/1,0.073127,水产品,活基围虾,44.95,0.090979,48.24,2018/10/1,肉蛋,梅瘦肉,-0.002593,19.15,0.04897,19.1,2018/12/1,0.006917,蔬菜,莲藕,4.8,-0.015026,4.83
2019/6/1,-0.012552,水产品,活鲤鱼,9.1,-0.033502,8.98,2018/10/1,肉蛋,精瘦肉,0.049306,16.64,0.000657,17.46,2018/12/1,-0.018573,蔬菜,奶白菜,4.63,0.065113,4.55
2019/6/1,-0.024967,水产品,活福寿鱼,8.51,-0.042416,8.3,2018/10/1,肉蛋,牛肉,-0.002901,43.52,0.008113,43.39,2018/12/1,-0.00179,蔬菜,苦瓜,5.04,-0.031218,5.03
2019/6/1,-0.023905,水产品,活草鱼,8.56,-0.041409,8.35,2018/10/1,肉蛋,羊肉,0.158061,32.88,0.039766,38.08,2019/2/1,0.157594,蔬菜,油麦菜,3.79,0.005396,4.39
2019/6/1,0.015903,水产品,活大头鱼,9.9,-0.010412,10.05,2018/10/1,肉蛋,白条鸡,-0.020231,17.85,0.026196,17.49,2019/2/1,0.228487,蔬菜,芹菜,4.83,0.010152,5.94
2019/6/1,0.00134,水产品,冰鲜带鱼,35.41,0.008817,35.46,2018/10/1,肉蛋,白条鸭,-0.012829,12.49,0.021056,12.33,2019/2/1,-0.02917,蔬菜,韭菜,5.49,0.01102,5.33
2019/6/1,-0.021118,水产品,冰鲜黄花鱼,23.03,-0.092174,22.55,2018/10/1,肉蛋,鸡蛋,0.004026,6.13,0.106674,6.15,2019/2/1,0.11199,蔬菜,菜心,5.2,-0.205882,5.78
2019/6/1,-0.036484,水产品,冰鲜红三鱼,40.26,-0.031808,38.79,2018/11/1,肉蛋,后腿肉,-0.013899,12.93,-0.041284,12.75,2019/2/1,0.242057,蔬菜,生菜,3.66,-0.031464,4.55
2019/6/1,-0.133811,水产品,活基围虾,50.81,0.007761,44.01,2019/4/1,肉蛋,后腿肉,-0.018092,12.96,0.013942,12.73,2019/2/1,0.120017,蔬菜,蒜苗,7.08,0.131139,7.93
2019/7/1,0.027781,水产品,活鲤鱼,8.98,-0.01848,9.23,2019/4/1,肉蛋,五花肉,0.017986,13.73,0.043361,13.98,2019/2/1,-0.015786,蔬菜,冬瓜,2.57,-0.063251,2.53
2019/7/1,0.042891,水产品,活福寿鱼,8.3,-0.021831,8.65,2019/4/1,肉蛋,肋排骨,-0.000038,26.36,0.076162,26.36,2019/2/1,0.236629,蔬菜,黄瓜,4.83,0.114531,5.97
2019/7/1,-0.005479,水产品,活草鱼,8.35,-0.053612,8.31,2019/4/1,肉蛋,梅瘦肉,-0.004386,19.15,-0.006435,19.07,2019/2/1,0.088031,蔬菜,西红柿,4.79,0.106103,5.21
2019/7/1,0.021592,水产品,活大头鱼,10.05,-0.015593,10.27,2019/4/1,肉蛋,精瘦肉,-0.027577,17.32,0.047564,16.84,2019/2/1,0.024858,蔬菜,茄子,4.72,-0.213209,4.84
2019/7/1,-0.023925,水产品,冰鲜带鱼,35.46,-0.047487,34.61,2019/4/1,肉蛋,牛肉,-0.09667,49.13,0.029339,44.38,2019/2/1,0.19533,蔬菜,白萝卜,1.91,-0.067522,2.28
2019/7/1,0.003133,水产品,冰鲜黄花鱼,22.55,-0.044064,22.62,2019/4/1,肉蛋,羊肉,-0.079269,42.24,0.19873,38.89,2019/2/1,0.038059,蔬菜,胡萝卜,3.48,-0.044971,3.61
2019/7/1,0.047437,水产品,冰鲜红三鱼,38.79,-0.017002,40.63,2019/4/1,肉蛋,白条鸡,0.063804,17.86,0.105622,19,2019/2/1,0.22907,蔬菜,尖椒,3.91,-0.202517,4.81
2019/7/1,-0.075561,水产品,活基围虾,44.01,-0.080422,40.68,2019/4/1,肉蛋,白条鸭,-0.012494,12.33,0.022342,12.17,2019/2/1,0.187754,蔬菜,青圆椒,5.4,0.078029,6.41
2019/5/1,-0.02211,水产品,活鲤鱼,9.3,-0.028377,9.1,2019/4/1,肉蛋,鸡蛋,-0.036496,5.75,0.014085,5.54,2019/2/1,0.314204,蔬菜,豆角,6.74,0.071422,8.86
2019/5/1,-0.012656,水产品,活福寿鱼,8.62,-0.010129,8.51,2019/6/1,肉蛋,后腿肉,0.076774,12.07,0.107729,12.99,2019/2/1,-0.049231,蔬菜,白花菜,5.19,-0.147884,4.94
2019/5/1,-0.049775,水产品,活草鱼,9.01,-0.023926,8.56,2019/6/1,肉蛋,五花肉,0.066489,13.77,0.179504,14.69,2019/2/1,0.029882,蔬菜,土豆,3.31,0.105053,3.41
2019/5/1,-0.031196,水产品,活大头鱼,10.22,0.006286,9.9,2019/6/1,肉蛋,肋排骨,0.012959,26.42,0.098019,26.76,2019/2/1,0.239158,蔬菜,西芹,3.87,0.119238,4.8
